department_id,department_name,latitude,longitude,locality,postal_code
19,Corrèze,45.507,1.7675,Affieux,19260
19,Corrèze,45.613,2.3921,Aix,19200
19,Corrèze,45.147,1.6774,Albignac,19190
19,Corrèze,45.141,1.8139,Albussac,19380
19,Corrèze,45.255,1.4691,Allassac,19240
19,Corrèze,45.563,2.2183,Alleyrat,19200
19,Corrèze,44.980,1.8688,Altillac,19120
19,Corrèze,45.532,2.0852,Ambrugeat,19250
19,Corrèze,45.309,1.8035,Les Angles-sur-Corrèze,19000
19,Corrèze,45.101,1.9343,Argentat-sur-Dordogne,19400
19,Corrèze,45.410,1.3614,Arnac-Pompadour,19230
19,Corrèze,44.951,1.8303,Astaillac,19120
19,Corrèze,45.185,1.6864,Aubazines,19190
19,Corrèze,45.200,2.1393,Auriac,19220
19,Corrèze,45.254,1.3244,Ayen,19310
19,Corrèze,45.342,1.8146,Bar,19800
19,Corrèze,45.025,1.8687,Bassignac-le-Bas,19430
19,Corrèze,45.199,2.0673,Bassignac-le-Haut,19220
19,Corrèze,44.980,1.8276,Beaulieu-sur-Dordogne,19120
19,Corrèze,45.423,1.7909,Beaumont,19390
19,Corrèze,45.648,2.2220,Bellechassagne,19290
19,Corrèze,45.523,1.4684,Benayes,19510
19,Corrèze,45.131,1.7298,Beynat,19190
19,Corrèze,45.368,1.4190,Beyssac,19230
19,Corrèze,45.402,1.3036,Beyssenac,19230
19,Corrèze,44.941,1.7772,Bilhac,19120
19,Corrèze,45.525,1.9864,Bonnefond,19170
19,Corrèze,45.393,2.4917,Bort-les-Orgues,19110
19,Corrèze,45.008,1.7084,Branceilles,19500
19,Corrèze,45.176,1.3328,Brignac-la-Plaine,19310
19,Corrèze,45.143,1.5193,Brive-la-Gaillarde,19100
19,Corrèze,45.020,1.8376,Brivezac,19120
19,Corrèze,45.590,1.9300,Bugeat,19170
19,Corrèze,44.992,1.9950,Camps-Saint-Mathurin-Léobazel,19430
19,Corrèze,44.992,1.9950,Camps-Saint-Mathurin-Léobazel,19430
19,Corrèze,45.314,1.3421,Chabrignac,19350
19,Corrèze,45.602,1.7195,Chamberet,19370
19,Corrèze,45.427,1.7093,Chamboulive,19450
19,Corrèze,45.247,1.7062,Chameyrat,19330
19,Corrèze,45.306,1.9982,Champagnac-la-Noaille,19320
19,Corrèze,45.189,1.9378,Champagnac-la-Prune,19320
19,Corrèze,45.270,1.8173,Chanac-les-Mines,19150
19,Corrèze,45.312,1.6226,Chanteix,19330
19,Corrèze,45.143,1.6266,La Chapelle-aux-Brocs,19360
