department_id,department_name,latitude,longitude,locality,postal_code
2A,Corse-du-Sud,41.984,8.7982,Afa,20167
2A,Corse-du-Sud,41.934,8.7013,Ajaccio,20000
2A,Corse-du-Sud,41.934,8.7013,Ajaccio,20090
2A,Corse-du-Sud,41.934,8.7013,Ajaccio,20167
2A,Corse-du-Sud,41.973,8.7313,Alata,20167
2A,Corse-du-Sud,41.860,8.8777,Albitreccia,20128
2A,Corse-du-Sud,41.860,8.8777,Albitreccia,20166
2A,Corse-du-Sud,41.709,9.0770,Altagène,20112
2A,Corse-du-Sud,42.087,8.7738,Ambiegna,20151
2A,Corse-du-Sud,42.003,8.7335,Appietto,20167
2A,Corse-du-Sud,41.671,8.9893,Arbellara,20110
2A,Corse-du-Sud,42.127,8.7954,Arbori,20160
2A,Corse-du-Sud,41.815,9.0324,Argiusta-Moriccio,20140
2A,Corse-du-Sud,42.096,8.8040,Arro,20151
2A,Corse-du-Sud,41.806,9.0926,Aullène,20116
2A,Corse-du-Sud,41.870,9.0168,Azilone-Ampaza,20190
2A,Corse-du-Sud,42.112,8.9309,Azzana,20121
2A,Corse-du-Sud,42.187,8.7538,Balogna,20160
2A,Corse-du-Sud,41.988,9.0486,Bastelica,20119
2A,Corse-du-Sud,41.935,8.8365,Bastelicaccia,20129
2A,Corse-du-Sud,41.617,8.8233,Belvédère-Campomoro,20110
2A,Corse-du-Sud,41.622,8.9049,Bilia,20100
2A,Corse-du-Sud,42.088,9.0710,Bocognano,20136
2A,Corse-du-Sud,41.435,9.1851,Bonifacio,20169
2A,Corse-du-Sud,42.028,8.7377,Calcatoggio,20111
2A,Corse-du-Sud,41.890,9.0009,Campo,20142
2A,Corse-du-Sud,42.047,8.8168,Cannelle,20151
2A,Corse-du-Sud,41.675,9.1601,Carbini,20170
2A,Corse-du-Sud,42.030,8.9362,Carbuccia,20133
2A,Corse-du-Sud,41.852,8.9720,Cardo-Torgia,20190
2A,Corse-du-Sud,42.154,8.6265,Cargèse,20130
2A,Corse-du-Sud,41.731,9.0409,Cargiaca,20164
2A,Corse-du-Sud,42.069,8.7599,Casaglione,20111
2A,Corse-du-Sud,41.760,8.9248,Casalabriva,20140
2A,Corse-du-Sud,41.904,8.8939,Cauro,20117
2A,Corse-du-Sud,41.972,9.1384,Ciamannacce,20134
2A,Corse-du-Sud,42.111,8.7352,Coggia,20118
2A,Corse-du-Sud,42.111,8.7352,Coggia,20160
2A,Corse-du-Sud,41.801,8.8655,Cognocoli-Monticchi,20123
2A,Corse-du-Sud,41.801,8.8655,Cognocoli-Monticchi,20166
2A,Corse-du-Sud,41.753,9.3303,Conca,20135
2A,Corse-du-Sud,41.882,9.0710,Corrano,20168
2A,Corse-du-Sud,41.769,8.7530,Coti-Chiavari,20138
2A,Corse-du-Sud,41.933,9.1865,Cozzano,20148
2A,Corse-du-Sud,42.243,8.8550,Cristinacce,20126
2A,Corse-du-Sud,41.976,8.8840,Cuttoli-Corticchiato,20167
2A,Corse-du-Sud,41.923,8.8940,Eccica-Suarella,20117
2A,Corse-du-Sud,42.285,8.8203,Évisa,20126
2A,Corse-du-Sud,41.516,9.1205,Figari,20114
2A,Corse-du-Sud,41.621,9.0356,Foce,20100
2A,Corse-du-Sud,41.848,9.0158,Forciolo,20190
2A,Corse-du-Sud,41.698,8.9877,Fozzano,20143
2A,Corse-du-Sud,41.919,9.0391,Frasseto,20157
2A,Corse-du-Sud,41.586,8.9572,Giuncheto,20100
2A,Corse-du-Sud,41.640,9.0122,Granace,20100
2A,Corse-du-Sud,41.602,8.8649,Grossa,20100
2A,Corse-du-Sud,41.883,8.8738,Grosseto-Prugna,20128
2A,Corse-du-Sud,41.883,8.8738,Grosseto-Prugna,20166
2A,Corse-du-Sud,42.178,8.9838,Guagno,20160
2A,Corse-du-Sud,41.827,8.9276,Guargualé,20128
2A,Corse-du-Sud,41.921,9.0785,Guitera-les-Bains,20153
2A,Corse-du-Sud,41.665,9.3190,Lecci,20137
2A,Corse-du-Sud,42.214,8.8770,Letia,20160
2A,Corse-du-Sud,41.651,9.1156,Levie,20170
2A,Corse-du-Sud,42.090,8.8541,Lopigna,20139
2A,Corse-du-Sud,41.698,9.0312,Loreto-di-Tallano,20165
2A,Corse-du-Sud,42.208,8.7201,Marignana,20141
2A,Corse-du-Sud,41.684,9.0925,Mela,20112
2A,Corse-du-Sud,41.788,9.0099,Moca-Croce,20140
2A,Corse-du-Sud,41.524,9.0119,Monacia-d'Aullène,20171
2A,Corse-du-Sud,42.158,8.8467,Murzo,20160
2A,Corse-du-Sud,41.950,8.9098,Ocana,20117
2A,Corse-du-Sud,41.840,9.0688,Olivese,20140
2A,Corse-du-Sud,41.712,8.9048,Olmeto,20113
2A,Corse-du-Sud,41.670,9.0329,Olmiccia,20112
2A,Corse-du-Sud,42.198,8.9574,Orto,20125
2A,Corse-du-Sud,42.343,8.6232,Osani,20147
2A,Corse-du-Sud,42.254,8.7329,Ota,20150
2A,Corse-du-Sud,42.254,8.7329,Ota,20150
2A,Corse-du-Sud,41.991,9.1891,Palneca,20134
2A,Corse-du-Sud,42.318,8.6897,Partinello,20147
2A,Corse-du-Sud,42.143,9.0162,Pastricciola,20121
2A,Corse-du-Sud,42.003,8.9115,Peri,20167
2A,Corse-du-Sud,41.770,8.9695,Petreto-Bicchisano,20140
2A,Corse-du-Sud,42.226,8.6279,Piana,20115
2A,Corse-du-Sud,41.504,9.0489,Pianottoli-Caldarello,20131
2A,Corse-du-Sud,41.828,8.8134,Pietrosella,20166
2A,Corse-du-Sud,41.792,8.8987,Pila-Canale,20123
2A,Corse-du-Sud,42.162,8.8984,Poggiolo,20125
2A,Corse-du-Sud,42.162,8.8984,Poggiolo,20160
2A,Corse-du-Sud,41.592,9.2536,Porto-Vecchio,20137
2A,Corse-du-Sud,41.650,8.8937,Propriano,20110
2A,Corse-du-Sud,41.908,9.0083,Quasquara,20142
2A,Corse-du-Sud,41.807,9.2009,Quenza,20122
2A,Corse-du-Sud,42.206,8.8197,Renno,20160
2A,Corse-du-Sud,42.124,8.9520,Rezza,20121
2A,Corse-du-Sud,42.125,8.8619,Rosazia,20121
2A,Corse-du-Sud,42.104,8.9018,Salice,20121
2A,Corse-du-Sud,41.946,9.1205,Sampolo,20134
2A,Corse-du-Sud,41.813,9.3522,Sari-Solenzara,20145
2A,Corse-du-Sud,41.813,9.3522,Sari-Solenzara,20145
2A,Corse-du-Sud,42.064,8.8337,Sari-d'Orcino,20151
2A,Corse-du-Sud,42.001,8.8343,Sarrola-Carcopino,20167
2A,Corse-du-Sud,41.571,8.9353,Sartène,20100
2A,Corse-du-Sud,41.741,8.8125,Serra-di-Ferro,20140
2A,Corse-du-Sud,41.741,8.8125,Serra-di-Ferro,20140
2A,Corse-du-Sud,41.778,9.1098,Serra-di-Scopamène,20127
2A,Corse-du-Sud,42.307,8.7324,Serriera,20147
2A,Corse-du-Sud,42.209,8.9225,Soccia,20125
2A,Corse-du-Sud,41.741,8.8801,Sollacaro,20140
2A,Corse-du-Sud,41.750,9.1157,Sorbollano,20152
2A,Corse-du-Sud,41.555,9.1820,Sotta,20146
2A,Corse-du-Sud,42.044,8.7890,Sant'Andréa-d'Orcino,20151
2A,Corse-du-Sud,41.680,9.2331,San-Gavino-di-Carbini,20170
2A,Corse-du-Sud,41.668,9.0611,Sainte-Lucie-de-Tallano,20112
2A,Corse-du-Sud,41.725,9.0088,Santa-Maria-Figaniella,20143
