department_id,department_name,latitude,longitude,locality,postal_code
2B,Haute-Corse,42.098,9.4115,Aghione,20270
2B,Haute-Corse,42.404,9.2287,Aiti,20244
2B,Haute-Corse,42.307,9.2863,Alando,20212
2B,Haute-Corse,42.311,8.9242,Albertacce,20224
2B,Haute-Corse,42.311,8.9242,Albertacce,20224
2B,Haute-Corse,42.105,9.4956,Aléria,20270
2B,Haute-Corse,42.105,9.4956,Aléria,20270
2B,Haute-Corse,42.605,8.8573,Algajola,20220
2B,Haute-Corse,42.219,9.2783,Altiani,20251
2B,Haute-Corse,42.312,9.3147,Alzi,20212
2B,Haute-Corse,42.253,9.3573,Ampriani,20272
2B,Haute-Corse,42.156,9.3840,Antisanti,20270
2B,Haute-Corse,42.591,8.8768,Aregno,20220
2B,Haute-Corse,42.434,8.9970,Asco,20276
2B,Haute-Corse,42.559,8.8943,Avapessa,20225
2B,Haute-Corse,42.684,9.3680,Barbaggio,20253
2B,Haute-Corse,42.873,9.3607,Barrettali,20228
2B,Haute-Corse,42.686,9.4250,Bastia,20200
2B,Haute-Corse,42.686,9.4250,Bastia,20200
2B,Haute-Corse,42.686,9.4250,Bastia,20600
2B,Haute-Corse,42.607,9.0142,Belgodère,20226
2B,Haute-Corse,42.607,9.0142,Belgodère,20226
2B,Haute-Corse,42.531,9.3022,Bigorno,20252
2B,Haute-Corse,42.616,9.4404,Biguglia,20620
2B,Haute-Corse,42.616,9.4404,Biguglia,20620
2B,Haute-Corse,42.485,9.3190,Bisinchi,20235
2B,Haute-Corse,42.573,9.4569,Borgo,20290
2B,Haute-Corse,42.573,9.4569,Borgo,20290
2B,Haute-Corse,42.779,9.4502,Brando,20222
2B,Haute-Corse,42.779,9.4502,Brando,20222
2B,Haute-Corse,42.779,9.4502,Brando,20222
2B,Haute-Corse,42.327,9.3086,Bustanico,20212
2B,Haute-Corse,42.871,9.4440,Cagnano,20228
2B,Haute-Corse,42.323,9.0338,Calacuccia,20224
2B,Haute-Corse,42.478,8.8036,Calenzana,20214
2B,Haute-Corse,42.478,8.8036,Calenzana,20214
2B,Haute-Corse,42.478,8.8036,Calenzana,20260
2B,Haute-Corse,42.545,8.7595,Calvi,20260
2B,Haute-Corse,42.368,9.3024,Cambia,20244
2B,Haute-Corse,42.388,9.3399,Campana,20229
2B,Haute-Corse,42.268,9.4237,Campi,20270
2B,Haute-Corse,42.496,9.3552,Campile,20290
2B,Haute-Corse,42.526,9.3252,Campitello,20252
2B,Haute-Corse,42.264,9.5020,Canale-di-Verde,20230
2B,Haute-Corse,42.843,9.3455,Canari,20217
2B,Haute-Corse,42.496,9.2342,Canavaggia,20235
2B,Haute-Corse,42.354,9.3605,Carcheto-Brustico,20229
2B,Haute-Corse,42.355,9.3799,Carpineto,20229
2B,Haute-Corse,42.347,9.3037,Carticasi,20244
2B,Haute-Corse,42.447,9.3721,Casabianca,20237
2B,Haute-Corse,42.435,9.4236,Casalta,20215
2B,Haute-Corse,42.282,8.9950,Casamaccioli,20224
2B,Haute-Corse,42.261,9.1518,Casanova,20250
2B,Haute-Corse,42.135,9.3680,Casevecchie,20270
2B,Haute-Corse,42.470,9.5013,Castellare-di-Casinca,20213
2B,Haute-Corse,42.310,9.2465,Castellare-di-Mercurio,20212
2B,Haute-Corse,42.471,9.2976,Castello-di-Rostino,20235
2B,Haute-Corse,42.525,9.1182,Castifao,20218
2B,Haute-Corse,42.409,9.1140,Castiglione,20218
2B,Haute-Corse,42.428,9.2733,Castineta,20218
2B,Haute-Corse,42.368,9.1260,Castirla,20236
2B,Haute-Corse,42.569,8.8957,Cateri,20225
2B,Haute-Corse,42.967,9.3644,Centuri,20238
2B,Haute-Corse,42.321,9.5154,Cervione,20221
2B,Haute-Corse,42.321,9.5154,Cervione,20221
2B,Haute-Corse,42.287,9.4886,Chiatra,20230
2B,Haute-Corse,42.617,8.9016,Corbara,20220
2B,Haute-Corse,42.617,8.9016,Corbara,20256
2B,Haute-Corse,42.369,9.0555,Corscia,20224
2B,Haute-Corse,42.270,9.0828,Corte,20250
2B,Haute-Corse,42.576,8.9990,Costa,20226
2B,Haute-Corse,42.407,9.3573,Croce,20237
2B,Haute-Corse,42.473,9.3523,Crocicchia,20290
2B,Haute-Corse,42.252,9.2630,Erbajolo,20212
2B,Haute-Corse,42.375,9.2670,Érone,20244
2B,Haute-Corse,42.987,9.3823,Ersa,20275
2B,Haute-Corse,42.729,9.3653,Farinole,20253
2B,Haute-Corse,42.288,9.2492,Favalello,20212
2B,Haute-Corse,42.346,9.4247,Felce,20234
2B,Haute-Corse,42.549,8.9399,Feliceto,20225
2B,Haute-Corse,42.420,9.3784,Ficaja,20237
2B,Haute-Corse,42.250,9.2925,Focicchia,20212
2B,Haute-Corse,42.652,9.4172,Furiani,20600
2B,Haute-Corse,42.408,8.7070,Galéria,20245
2B,Haute-Corse,42.422,9.2598,Gavignano,20218
2B,Haute-Corse,42.043,9.4226,Ghisonaccia,20240
2B,Haute-Corse,42.043,9.4226,Ghisonaccia,20240
2B,Haute-Corse,42.043,9.4226,Ghisonaccia,20240
2B,Haute-Corse,42.090,9.2102,Ghisoni,20227
