chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
4,229,2080000,7,bien-exception-1375928,Villa Cannes - 4 chambres - 229m²,06400,VILLA,MICHAËL ZINGRAF CHRISTIE'S INT. REAL ESTATE - Cannes Croisette,Cannes,VILLA,https://www.bellespierres.com/photo-quintin-22-villa/d137/1375929/18dcba76a83f6f4bf8ff00e4dd6f5a27_3a9887127bbf5fdff7187fe5ed749dbf_apx_1024_.jpg
2,108,695000,3,bien-exception-1375911,Appartement Cannes - 2 chambres,06400,APPARTEMENT,Propriétés Privées,Cannes,APPARTEMENT-DE-LUXE,https://www.bellespierres.com/photo-cannes-06-appartement-de-luxe/d137/1375911/2084cf4a9f11930dee7e422687e25183_70dd306ca42c1dcebdb8ec4b6c776bbd_apx_1024_.jpg
6,1936,25900000,20,bien-exception-1375878,Villa Cannes - 6 chambres - 1936m²,06400,VILLA,ESTATE PRESTIGE KNIGHT FRANK CANNES,Cannes,VILLA,https://www.bellespierres.com/photo-cannes-06-villa/d137/1375878/f693e62770ac08b7b01ece2080732466_edcf3599759e69876a82d859903e8921_apx_1024_.jpg
2,90,3280000,3,bien-exception-1375853,Appartement Cannes - 2 chambres,06400,APPARTEMENT,PAUL PARKER PROPERTIES,Cannes,APPARTEMENT-DE-LUXE,https://www.bellespierres.com/photo-cannes-06-appartement-de-luxe/d137/1375853/99603db40c170aaea0e70ff16a41c8eb_bbe051d8a135b5ce19c408370a964cd4_apx_1024_.jpg
2,77,930000,3,bien-exception-1375923,Appartement Nice - 2 chambres - 77m²,06000,APPARTEMENT,NICE PROPERTIES MASSENA,Nice,APPARTEMENT-DE-LUXE,https://www.bellespierres.com/photo-nice-06-appartement-de-luxe/d137/1375923/61e300d7db5889415feb2510c8597d92_87c174bbf8bd279ca486d69d4634652b_apx_1024_.jpg
3,108,990000,4,bien-exception-1375906,Appartement Nice - 3 chambres,06000,APPARTEMENT,Propriétés Privées,Nice,APPARTEMENT-DE-LUXE,https://www.bellespierres.com/photo-nice-06-appartement-de-luxe/d137/1375906/0e13915e262d1d826854966da026236b_11482ad99da73e4e09029930fb3f60cb_apx_1024_.jpg
3,360,2600000,5,bien-exception-1375893,Villa Nice - 3 chambres - 360m²,06000,VILLA,MICHAËL ZINGRAF CHRISTIE'S INT. REAL ESTATE,Nice,VILLA,https://www.bellespierres.com/photo-nice-06-villa/d137/1375893/a272c5abf31916df7d2ac2a3223f8b22_f5fe9a6afab09b38b7998b34703221fb_apx_1024_.jpg
2,84,715000,3,bien-exception-1375868,Appartement Nice - 2 chambres - 84m²,06000,APPARTEMENT,ESTATE PRESTIGE KNIGHT FRANK CAP FERRAT,Nice,APPARTEMENT-DE-LUXE,https://www.bellespierres.com/photo-nice-06-appartement-de-luxe/d137/1375868/8565fd2a2c165c0c51b0e5a80393ce79_3e3342b497512cd4455d46bab3f8237b_apx_1024_.jpg
5,243,890000,7,bien-exception-1375650,Appartement Lille - 5 chambres - 243m²,59000,APPARTEMENT,Nathalie Forest Sotheby's International Realty,Lille,APPARTEMENT-DE-LUXE,https://www.bellespierres.com/photo-lille-59-appartement-de-luxe/d137/1375650/326caa278ad129fca986b7dbca20bbf0_36ece09cc5bfa06a106aee04af70a4ca_apx_1024_.jpg
4,150,502400,6,bien-exception-1375260,Maison Lille - 4 chambres,59000,MAISON,Propriétés Privées,Lille,MAISON-DE-LUXE,https://www.bellespierres.com/photo-lille-59-maison-de-luxe/d137/1375260/c131695fe88b94315fe082cde2a6ec9f_fd93bef3038e1cb3fd4aa29112196e1d_apx_1024_.jpg
