zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesMaxPrice,availablePropertiesCount,residenceType,address,typologies,image
75017,Appartement T1 - 16 m2 - Paris#1b850190fedb,1b850190fedb,A BIS,Paris,Appartement T1 - 16 m2 - Paris,True,2024T2,Masteos,2.3254489,48.8840818,217386,217386,1,,Rue Lécluse,T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImUxMjRhZTUyOWQ2NTQ0ZTM4OTZkOGFiMjIzMTA5OGJlNTI2NzM4ZGIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=f3e689f5ed2a592c0e89e7fd6d17afbb9cfdd9ef44011790d2eee369394e9b0c
75020,SERENITE#b0c88c8094d0,b0c88c8094d0,A BIS,Paris,SÉRÉNITÉ,False,2026T1,E-mocom,2.3887663,48.8702477,440000,1550000,6,,31 rue Henri Chevreau,T2|T3|T4|T5,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjVkZWZhYjRjY2MxNDQ3OTA2NTExYTc3NWJmMDZmN2EyNzlhNGM1Y2QiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=b49287347e3598b2bd7dfc0aa7b38fa0b233303ee3035c0b66cd2b2550ad2c49
75020,L'ECRIN DE COLINE#3bb0b0673917,3bb0b0673917,A BIS,Paris,L'ECRIN DE COLINE,False,,Lymo,2.4046679,48.868031,299000,1090000,8,,21 rue de la Dhuis,T1|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjA4NjBlNjJlNzFkOGIwZWZmYjllOTMyYjNlMGNmNjJjMjkwMWRiOTgiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=54c091d77bcb6cf11a0d7b3d02a533350619391b8f68880e6a438ce8ef8631f9
75012,Studea Paris Vivaldi PARIS 12 - 75#26fac7ce96ee,26fac7ce96ee,A BIS,Paris,Studéa Paris Vivaldi PARIS 12 - 75,True,,Pierre Loyers Conseil,2.3932259,48.8414564,132693.7,152112.39,4,Student,"102, rue de Reuilly",T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImFiNjQ0M2IzOGNlMjUwNDNiNWQ0MDU1NjRmMjU2NmRmMjA0ZDRlZmIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=79c44666c5a88e322e7282a41f1da8a7b565fccfeaf4b21dd8a89b993236305e
93300,62 ROOSEVELT#e451400c579a,e451400c579a,A BIS,Aubervilliers,62 ROOSEVELT,True,2024T2,Les Nouveaux Constructeurs,2.3803179,48.9188264,304719,346600,1,,62 rue Roosevelt - 57 à 63 Rue Schaeffer,Studio|T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImFmMGJlOGQ4ODc1OGNiYWI0ZDJhODA4ZjkxNjhkOWZlNTM1Zjc3NDUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=76a239146ee36e9c0cae4df59776083afe743d59f229a6ca11ada4cabfa4df38
93300,VILLA CAPUCINE#b68c82706603,b68c82706603,A BIS,Aubervilliers,VILLA CAPUCINE,False,2024T4,NACA IMMOBILIER,2.3946256,48.9197895,292894.38,447627.6,15,,145 Rue Hélène Cochennec,T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6InVwbG9hZGluZ182NzEzNWIzMTY4MjI1IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjozODAsImhlaWdodCI6MzAwLCJmaXQiOiJjb3ZlciJ9fX0=?signature=b57729049d9a7c7b8d42a2140b33c1088884dbb7696a3ab680daf086c92204b6
93300,Le Condorcet - Logifac#3c4fe227ff89,3c4fe227ff89,A BIS,Aubervilliers,Le Condorcet - Logifac,False,,Plusimmo - Plusinvest,2.376004,48.906146,95352,95352,1,,1 Rue des 21 Appeles,Studio,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6InVwbG9hZGluZ182NjA2YzY4MjkwOWEwIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjozODAsImhlaWdodCI6MzAwLCJmaXQiOiJjb3ZlciJ9fX0=?signature=745f7a26ff058b88451063a84956aecbeb1cab40355fdaa999416c7912d97cc4
93300,54 REPUBLIQUE#e66ecb455a3e,e66ecb455a3e,A BIS,Aubervilliers,54 RÉPUBLIQUE,False,2026T2,Les Nouveaux Constructeurs,2.3854598,48.9101735,257684,532399.62,42,,54 AVENUE DE LA RÉPUBLIQUE,T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImE2YjgzMDI3OTQ3MDU4ODJhNzRlZjE3Yjc5NjFhMTM1MThiMTJiZDgiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=91ebf64a1cc38fc44dfb47567a044e97840692acd8b278d5c2cf7725dc5fa1c6
94800,Viollet le duc#7d08df32d067,7d08df32d067,A BIS,Villejuif,Viollet le duc,True,2024T3,AFC Promotion,2.3490759,48.7858623,527500,785000,4,,104-108 avenue de la république,T5,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImU2NTFkZTE4MGU3MzQ5ODI5ODcwMGM0MTU0NWM3NjZmNDE4M2QxOTEiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=c5bba7f9c9a9fa8c018e14be82b902ffec4a118d65334f09552d05142f8414c4
94800,IMPULSION #7e778621a091,7e778621a091,A BIS,Villejuif,IMPULSION ,False,2027T3,PRIMAVEFA,2.36892,48.790574,233500,495000,18,,2 Rue de La Commune,Studio|T2|T2 évolutif|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImExZDNiYWIzNzgxY2Y3MmE5MTA1ODg4YWVmM2RhYzAzIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjozODAsImhlaWdodCI6MzAwLCJmaXQiOiJjb3ZlciJ9fX0=?signature=d8dac1db669a1c60dc74de452cb24df475374b35a9c57bf9eafe9d34e0a66e01
