city,region_id,count,latitude,longitude
Montpellier,34,105,43.6112422,3.8767337
Lyon,69,128,45.7578137,4.8320114
Marseille,13,104,43.2961743,5.3699525
Toulouse,31,100,43.6044622,1.4442469
Bordeaux,33,80,44.841225,-0.5800364
Paris,75,64,48.8588897,2.320041
Nice,06,56,43.7009358,7.2683912
Le Havre,76,62,49.4938975,0.1079732
Nantes,44,40,47.2186371,-1.5541362
Lille,59,37,50.6365654,3.0635282
Tours,37,34,47.3900474,0.6889268
Villeurbanne,69,33,45.7733573,4.8868454
Clermont-Ferrand,63,33,45.7774551,3.0819427
Rouen,76,31,49.4404591,1.0939658
Strasbourg,67,29,48.584614,7.7507127
Aix-en-Provence,13,25,43.5298424,5.4474738
Orléans,45,25,47.9027336,1.9086066
Annemasse,74,24,46.1934005,6.2341093
Amiens,80,24,49.8941708,2.2956951
Grenoble,38,22,45.1875602,5.7357819
Nîmes,30,22,43.8374249,4.3600687
Angers,49,22,47.4739884,-0.5515588
Aubervilliers,93,20,48.9146078,2.3821895
Dijon,21,20,47.3215806,5.0414701
Le Blanc-Mesnil,93,19,48.9385489,2.4631476
Mérignac,33,19,44.842168,-0.6469022
Chartres,28,19,48.4438601,1.4881434
Rennes,35,19,48.1113387,-1.6800198
Poitiers,86,18,46.5802596,0.340196
Annecy,74,18,45.8992348,6.1288847
Caen,14,18,49.1813403,-0.3635615
Nancy,54,17,48.6937223,6.1834097
Antibes,06,17,43.5812868,7.1262071
Cergy,95,17,49.0527528,2.0388736
Tourcoing,59,17,50.7235038,3.1605714
Colombes,92,17,48.922788,2.2543577
Avignon,84,17,43.9492493,4.8059012
Massy,91,16,48.73333,2.28333
Meaux,77,16,48.9582708,2.8773541
Pau,64,15,43.2957547,-0.3685668
Saint-Ouen-sur-Seine,93,15,48.911729,2.334267
Brest,29,15,48.3905283,-4.4860088
Berck,62,15,50.4052576,1.5711617
Reims,51,15,49.2577886,4.031926
Saint-Maur-des-Fossés,94,15,48.8033057,2.4853015
Villejuif,94,14,48.7921098,2.3633048
Ivry-sur-Sein,94,14,48.807196,2.37586
La Rochelle,17,14,46.159732,-1.1515951
Saran,45,13,47.9514553,1.8749906
Arras,62,13,50.291048,2.7772211
Thonon-les-Bains,74,13,46.3731303,6.4779448
Drancy,93,13,48.9229803,2.4455201
Caluire-et-Cuire,69,12,45.7969952,4.8423304
Cenon,33,12,44.8552882,-0.5239863
Plaisir,78,12,48.817399,1.9476363
Asnières-sur-Seine,92,12,48.9105948,2.2890454
Le Mans,72,12,48.0073849,0.1967849
Béziers,34,12,43.3426562,3.2131307
Fréjus,83,11,43.4330308,6.7360182
Clamart,92,11,48.8003835,2.2630238
Le Perreux-sur-Marne,94,11,48.840627,2.5077111
Villiers-sur-Marne,94,11,48.8262055,2.5406696
Lens,62,11,50.4291723,2.8319805
Chambéry,73,11,45.5662672,5.9203636
Agde,34,11,43.3124696,3.4707789
Lormont,33,11,44.8791708,-0.5216683
Puteaux,92,10,48.8841522,2.2368863
Cogolin,83,10,43.25,6.53659
Roubaix,59,10,50.6915893,3.1741734
Châtenay-Malabry,92,10,48.7670404,2.2775316
Villenave-d'Ornon,33,10,44.7737872,-0.5595029
Biarritz,64,10,43.4832523,-1.5592776
Vanves,92,10,48.8212037,2.289259
Saint-Malo,35,10,48.649518,-2.0260409
L'Île-Saint-Denis,93,10,48.9355885,2.3397438
Metz,57,10,49.1196964,6.1763552
Créteil,94,10,48.7771486,2.4530731
Béguey,33,10,44.6442931,-0.3227988
La Londe-les-Maures,83,9,43.1381313,6.2355346
Champigny-sur-Marne,94,9,48.8137759,2.5107384
Perpignan,66,9,42.6985304,2.8953121
Rueil-Malmaison,92,9,48.87778,2.1802832
L'Haÿ-les-Roses,94,9,48.7790514,2.3373021
Villeneuve-Saint-Georges,94,9,48.7305272,2.44782
Tassin-la-Demi-Lune,69,9,45.7598386,4.7657747
Dunkerque,59,9,51.0347708,2.3772525
Laval,53,9,48.0706687,-0.7734022
Chennevières-sur-Marne,94,9,48.7965001,2.530442
Beausoleil,06,9,43.748281,7.4219677
Limoges,87,9,45.8354243,1.2644847
La Teste-de-Buch,33,9,44.6316943,-1.1491319
Villeneuve-d'Ascq,59,9,50.6193174,3.1314002
Vallauris,06,8,43.5761001,7.05859
Castelnau-le-Lez,34,8,43.6393171,3.9133311
Valenciennes,59,8,50.3579317,3.5234846
Saint-Germain-en-Laye,78,8,48.9356047,2.0917743
Noisy-le-Grand,93,8,48.8492238,2.5524906
Cormeilles-en-Parisis,95,8,48.9759637,2.1998877
Dax,40,8,43.7084065,-1.0518771
Bussy-Saint-Georges,77,8,48.8389953,2.7171086
Louvres,95,8,49.0449139,2.5096751
Gagny,93,8,48.8853708,2.5361783
Agen,47,8,44.2015827,0.6176112
Montreuil,93,8,48.866669,2.43333
Cabourg,14,8,49.2934373,-0.1155085
Cherbourg-en-Cotentin,50,8,49.6425343,-1.6249565
Évry-Courcouronnes,91,8,48.629966,2.4381816
Creil,60,8,49.2607914,2.4733771
Clichy,92,7,48.9026,2.30551
Provins,77,7,48.5602959,3.2988089
Saint-Étienne,42,7,45.4401467,4.3873058
Talence,33,7,44.8088438,-0.5879629
Bezons,95,7,48.9250016,2.2105491
Rillieux-la-Pape,69,7,45.823514,4.8994366
Mulhouse,68,7,47.7467233,7.3389937
Le Cannet,06,7,43.5761076,7.0191865
Vannes,56,7,47.6586772,-2.7599079
Arles,13,7,43.6776223,4.6309653
Morzine 74 7,74,7,46.1799561,6.7091057
