Trimestre,Ile de France,Petite Couronne,Hauts-de-Seine,Seine-St-Denis,Val-de-Marne,Grande Couronne,Seine-et-Marne,Yvelines,Essonne,Val-d'Oise
T2 2024,327 200,390 300,646 400,295 600,387 400,300 900,253 600,395 700,305 200,295 900
T1 2024,331 400,397 700,656 200,301 400,396 000,303 900,255 500,401 600,306 800,298 900
T4 2023,343 600,415 100,693 600,311 500,411 200,314 000,263 100,416 200,318 000,307 800
T3 2023,354 300,425 200,707 300,318 900,423 400,324 900,274 000,428 000,327 700,320 100
T2 2023,355 700,426 700,707 200,321 400,425 100,326 200,273 400,433 000,328 500,320 800
T1 2023,361 500,434 900,723 600,325 500,433 400,331 100,277 000,438 300,335 200,325 900
T4 2022,368 500,440 100,729 200,331 500,438 700,338 800,285 300,447 100,343 100,332 400
T3 2022,374 600,452 500,752 700,339 100,450 600,342 600,287 800,451 200,347 800,336 900
T2 2022,362 400,436 700,726 200,326 900,435 300,331 700,278 300,437 700,337 100,325 600
T1 2022,358 800,433 200,721 900,326 100,429 500,328 100,275 700,432 900,332 400,322 500
T4 2021,356 900,434 400,731 600,321 800,430 900,325 000,271 500,432 400,329 700,317 300
T3 2021,355 200,430 700,718 000,323 900,426 500,324 100,271 400,428 200,329 000,318 600
T2 2021,342 700,416 600,694 300,312 300,413 500,312 300,261 900,410 900,317 300,308 100
T1 2021,338 900,411 300,691 600,305 000,408 500,309 100,257 900,408 000,313 900,305 200
T4 2020,334 700,408 700,680 900,306 300,406 100,304 400,254 500,401 200,308 500,301 300
T3 2020,332 100,404 100,672 900,303 100,401 300,302 600,252 800,399 100,306 900,299 000
T2 2020,323 400,390 000,648 200,294 300,386 200,295 900,247 200,389 700,300 600,292 600
T1 2020,315 900,382 800,636 700,288 100,379 600,288 400,242 500,378 000,293 300,284 400
T4 2019,313 500,377 500,627 400,285 100,373 600,287 000,239 400,379 000,292 000,283 000
T3 2019,316 800,382 900,637 600,288 700,378 600,289 500,242 600,381 700,294 400,284 500
T2 2019,308 400,371 700,617 600,280 700,367 900,282 200,236 400,372 500,286 000,277 900
T1 2019,308 600,373 400,621 200,282 200,369 000,281 900,235 800,371 100,287 000,277 900
T4 2018,311 700,375 600,623 700,283 900,371 800,285 300,240 400,374 500,289 900,280 400
T3 2018,312 800,375 300,622 700,283 700,371 600,286 800,241 500,376 200,292 100,281 700
T2 2018,305 500,364 000,604 000,274 600,361 100,281 100,236 000,370 700,286 200,274 900
T1 2018,301 700,355 700,582 200,270 600,355 300,279 000,235 800,364 500,284 100,274 400
T4 2017,301 300,356 000,585 900,270 700,353 600,278 400,234 500,365 300,282 700,273 800
T3 2017,306 600,362 500,594 900,277 800,359 100,283 200,239 800,370 600,287 400,278 300
T2 2017,297 900,350 400,573 300,268 100,348 500,275 900,232 900,361 600,280 500,270 700
T1 2017,294 400,345 500,565 400,264 400,343 600,272 800,230 700,356 700,276 400,269 200
T4 2016,293 300,344 400,565 100,263 200,342 100,271 700,229 700,355 900,275 500,267 200
T3 2016,299 200,351 100,573 700,269 000,349 400,277 300,233 800,363 600,281 000,273 300
