zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesCount,residenceType,address,typologies,image
21380,Les Terrasses du Suzon MESSIGNY-ET-VANTOUX - 21#89fd2b62550c,89fd2b62550c,C,Messigny-et-Vantoux,Les Terrasses du Suzon MESSIGNY-ET-VANTOUX - 21,True,,Pierre Loyers Conseil,5.0088148,47.4110043,118811.88,1,EHPAD,"14, rue des Alisiers",T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImEzNGM3MDU4OWYwYTI4YTZlODZlODYzMGI4YWM0NTYzNjcyZjhiMTYiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=4456bd2257835381d5a0d6274236660c7f57edf293ef5b75e56fd766b4463fc2
21000,EVORA PARK 6#8bd40bc00b41,8bd40bc00b41,B1,Dijon,EVORA PARK 6,False,2025T4,Nexity,5.0337564,47.3087654,196000,10,,6 BD JOHN KENNEDY,T2|T3|T4,
21000,IMAGIN'AIR#d2c903fa149f,d2c903fa149f,B1,Dijon,IMAGIN'AIR,False,2025T2,Pichet (RP),5.024423,47.3068644,276000,1,,87 avenue Jean Jaurès,LOCAL COMMERCIAL,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImFmZjRlNGQwMDA3YjlhZmQyM2Q0N2RiMGExNzdiZmI3ZTA3ODBjMTkiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=76a5425679a07180bfb440ab5dd5842d32a041bfc88bb1308cca6c1825767f37
21000,Philharmonia#65cd260f50e0,65cd260f50e0,B1,Dijon,Philharmonia,False,2025T2,Groupe Eiffage,5.0627956,47.3287958,188815.17,15,,Avenue Raymond Poincaré,Studio|T2|T3|T4,
21000,Les Jardins d'Arcadie#73c6d71a6b17,73c6d71a6b17,B1,Dijon,Les Jardins d'Arcadie,True,1991T1,Consultim,5.049839,47.303968,211078.76,1,Senior,148 Rue de Longvic 146,T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImI1YWUzZDc3ZjZiY2Y4NTY5NDFmZGVhYWRjYjY5Y2YzZDJlMGI4MDIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=49d69bb17302298483bcf2eb905908f8668d095242713d6adfe82e3f9ec2e864
21000,SQUARE VOLTAIRE#0ff632381dcc,0ff632381dcc,B1,Dijon,SQUARE VOLTAIRE,False,2027T2,Vinci Immobilier,5.0522059,47.3150964,148000,34,,23 boulevard Voltaire,T2|T3|T4|T5,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImY3NDA3YjYyMDkyMGExNzBhM2M1ZWQ5MjkyY2FkZWRlODJkZGE0YmIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=bf16dd2370de3fa8dc93b4f4c0b83583bd4c9961723fbb1554834b399ac40aaa
21000,40 Rousseau#61f5db7e6373,61f5db7e6373,B1,Dijon,40 Rousseau,False,2025T4,Inovefa,5.0386146,47.3237985,148685,6,,40 Rue Jean Jacques Rousseau,NC|T1|T2,
21000,AGORA VOLTAIRE#b205a1564ad9,b205a1564ad9,B1,Dijon,AGORA VOLTAIRE,False,2026T4,Vinci Immobilier,5.0522059,47.3150964,116500,77,,23 boulevard Voltaire,T1|T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjY1ZTcxY2U4MThmODMxNzVjMzRiNDlhMjdhZDMwZTljNThiMjliYmUiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=3c36d63fcd8ecf3282ca1119b78a6046c1917fc99dcf84dbb977295009dae2d3
21380,Les Terrasses du Suzon#09a94473c50a,09a94473c50a,C,Messigny-et-Vantoux,Les Terrasses du Suzon,True,2012T4,Revenu Pierre,5.0085746,47.4112552,103200,1,EHPAD,14 Rue des Alisiers ,T1,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjA0MTliMzFkZTNkZTE1ZTczZDUzOTkyOTYzNzZiZGE5YjE1ZjczNmEiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=c92e2386042819f890933452426e1879beb7c463a6409c5caf0e846d0f2631de
21000,BILOBA - ACCESSION ABORDABLE#8b6dd3213e91,8b6dd3213e91,B1,Dijon,BILOBA - ACCESSION ABORDABLE,False,2025T1,Oceanis,5.0616895,47.3009424,131800,10,,Boulevard de Chicago,T2|T2 Duplex|T3|T3 Duplex|T4|T4 Duplex,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjZjYjdlNTY2MzU4NWUzNDg5ZGUzNmIxOTRjYTExNjNlM2Q1M2MzODkiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=484a0dc6662cdde4d2927cc5526410e2c732e22a1feb6cae1322e2e7a7d5f9db
