zip_code,name_id,id,taxArea,city,estate_name,delivered,deliveryQuarter,developer_name,longitude,latitude,availablePropertiesMinPrice,availablePropertiesMaxPrice,availablePropertiesCount,residenceType,address,typologies,image
42000,FACTORY#ccebc47eeabf,ccebc47eeabf,B2,Saint-Étienne,FACTORY,False,2025T4,Woodeum X Pitch Immo,4.3878064,45.4491705,91000,236729.86,10,,RUE ANNINO - LOT M10,T1|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6ImJjOTA4YjhlY2U5NzBmOWUyZGExMGZkNTAxOTAxMjEzMGY0ODI4MGIiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=5137ee8ff8307202052ddb1cdd25f7e2f0870d5ac8b9613cace5748721ce8dc9
42270,Le Sirius#1fc22044c956,1fc22044c956,B1,Saint-Priest-en-Jarez,Le Sirius,True,2019T3,Consultim,4.3772919,45.468594,58632.65,58632.65,1,Student,12A rue Albert RAIMOND,Studio,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6Ijc1ZjFmMDczNTg1ZTZkNzJlZTM1OTI4MGQ0M2U2ZGE2YWU1ZWEwNDMiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=80125bbcb5537de1d1bf66dcb3a0c639e054297b4ccdc99d9749446f6570e6bc
42000,COEUR VERT#4fe2a1284790,4fe2a1284790,B2,Saint-Étienne,COEUR VERT,False,2025T2,Spirit,4.4030889,45.445212,149900,329744.07,17,,Boulevard du Colonel Marey,T2|T3|T4|T5,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6Ijc5ZTM4ZDMyZTJkZjc2MWFhZDA0Yzk0NGNmNjk4Y2M3MjAzZjFhYjgiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=6cf142a3498a2cfea7d2b6cd7d08eb0256351f2a6454a5b7a6780aad196348c5
42210,le parc st germain#922b1300d23f,922b1300d23f,B2,Montrond-les-Bains,le parc st germain,True,2011T1,Domitys Invest,4.2406638,45.6384827,164000,164000,1,,213 Chemin de Létra,T2|T3,
42300,VERY LOIRE#d2bdb8b6494b,d2bdb8b6494b,B2,Roanne,VERY LOIRE,False,2026T4,Urbat,4.0649355,46.0248651,118500,250000,46,,7 rue Lavoisier – 42300 ROANNE,T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjIwOTA5NTYzOTRjMjllMmEwNzhhNDkwOTU0MjZhZDJhNGIyNTc3NTQiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=575da0b46f689bad16b3b4d1a8775d7ef5e57fe55b74386e4c4aded70c318b15
42100,LE FIRST#f334e03e1782,f334e03e1782,B2,Saint-Étienne,LE FIRST,False,2026T3,Groupe Confiance,4.422011,45.425161,83328,93057,63,,2 rue Docteur Paul Michelon,T1|T2,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjM5NzIzMmY4ZTczMmZjNDkyOWIyNzhkZjg5OTEwNWExMGFlNWI2MmMiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=320222bb2b6ad1e596a9ef0bccbcebc9b45b4a499e4fe5288b1255d88d515997
42100,POP 1#34fe2cd11469,34fe2cd11469,B2,Saint-Étienne,POP 1,False,2025T2,Edouard Denis,4.4238802,45.4234868,95919.16,95919.16,1,Student,24 RUE DOCTEUR PAUL MICHELON,T1,
42390,LES PASSEMENTIERS#56d3817f8abb,56d3817f8abb,B2,Villars,LES PASSEMENTIERS,False,2026T1,Domitys Invest,4.3536919,45.4724992,160250,254083,41,Senior,Rue de l'Espoir,T1|T2|T3,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjE4MWFiM2M3OGI2NDE1YjM1ODRiNTNmN2E2ZWQ3ODEwYzM5ODIyY2EiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=67885fff471494aa464b26b9f48a7f4b573e0089e497375b43e126672dd9786f
42100,Harmony 1#ee1f372df875,ee1f372df875,B2,Saint-Étienne,Harmony 1,False,2027T1,Edouard Denis,4.4163942,45.4261627,88044,98246,60,,24 BD KARL MARX,T1|T7,
42300,LE 24 CARNOT#874871ef0464,874871ef0464,B2,Roanne,LE 24 CARNOT,False,2026T3,Les Nouveaux Constructeurs,4.0687239,46.0409275,143000,340000,29,,24 AVENUE CARNOT,T2|T3|T4,https://dj32ymiemc11o.cloudfront.net/eyJidWNrZXQiOiJvdGFyZWUtcHJvZHVjdGlvbi1maWxlcyIsImtleSI6IjM5Y2VjNjUyMmM4MmY2ZTU5MDA2NTI5OWE3ZTllMjM4NmUxM2M1YjEiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjM4MCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvdmVyIn19fQ==?signature=48988afdd8772add867ab3e4ef556595c14e938de905a62e19c9fb2a38f1efdd
