chambre,surface,price,piece,id,title,zip_code,residence_type,agent,city,class_level,image
2,105,498000,4,bien-exception-1375966,Appartement Tours - 2 chambres,37000,APPARTEMENT,Espaces Atypiques,Tours,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-tours-37-appartement-de-luxe/d137/1375966/ead355ca13cd1b660826639acf9af621_4a2fcece80712438ce682173f21948d2_apx_1024_.jpg
6,465,670000,10,bien-exception-1375679,Villa Sepmes - 6 chambres,37800,VILLA,Espaces Atypiques,Sepmes,VILLA,https://www.bellespierres.com/photo-sepmes-37-villa/d137/1375679/c65b7eee7f5e2788abe30674b40ed5c9_04c5baa3b7bdae7b9e131d468b5ce2e9_apx_1024_.jpg
9,346,543400,15,bien-exception-1375178,Villa Villedômer - 9 chambres,37110,VILLA,Espaces Atypiques,Villedômer,VILLA,https://www.bellespierres.com/photo-villedomer-37-villa/d137/1375178/5c616bc28dfe1028e09736e9e1cade3c_78f4f78e0beefb255bcf8434a7640901_apx_1024_.jpg
0,111,550000,4,bien-exception-1375163,Appartement Saint-Cyr-sur-Loire - 111m²,37540,APPARTEMENT,IMMO DIFFUSION,Saint-Cyr-sur-Loire,APPARTEMENT_DE_LUXE,https://www.bellespierres.com/photo-saint-cyr-sur-loire-37-appartement-de-luxe/d137/1375163/8db52239844227d0f9427d63134f5a50_5e370c4f8f33761734a6f482a5e58438_apx_1024_.jpg
2,150,638000,7,bien-exception-1374966,Propriété équestre Château-la-Vallière - 2 chambres - 150m²,37330,PROPRIETE EQUESTRE,Cabinet LE NAIL,Château-la-Vallière,PROPRIETES_EQUESTRES,https://www.bellespierres.com/photo-chateau-la-valliere-37-proprietes-equestres/d137/1374966/6a9c163cf594e94e6cfff290d57825d2_dfbe849a85146b0264f0c0d1e60f8b16_apx_1024_.jpg
7,255,650000,7,bien-exception-1374908,Maison Langeais - 7 chambres - 255m²,37130,MAISON,Val de Loire Sologne Sotheby's International Realty,Langeais,MAISON_DE_LUXE,https://www.bellespierres.com/photo-langeais-37-maison-de-luxe/d137/1374908/93c8c8d7db987909370a6b7a1ebdc352_eb7256f4f8e24eb0db698e64c414445b_apx_1024_.jpg
9,297,545900,18,bien-exception-1374483,Maison Château-Renault - 9 chambres,37110,MAISON,Propriétés Privées,Château-Renault,MAISON_DE_LUXE,https://www.bellespierres.com/photo-chateau-renault-37-maison-de-luxe/d137/1374483/6622ee88f2d5365e313632b62e96e642_03aab92ecaf5f6b8824d1cb9d3ce1c21_apx_1024_.jpg
4,170,540000,7,bien-exception-1374448,Villa Fondettes - 4 chambres,37230,VILLA,Espaces Atypiques,Fondettes,VILLA,https://www.bellespierres.com/photo-fondettes-37-villa/d137/1374448/9875ec5658bce4915b691e9f6e6005a2_22f06406ba9b3ed22acd493c468da621_apx_1024_.jpg
6,260,513000,12,bien-exception-1374201,Maison Nouans-les-Fontaines - 6 chambres,37460,MAISON,Propriétés Privées,Nouans-les-Fontaines,MAISON_DE_LUXE,https://www.bellespierres.com/photo-nouans-les-fontaines-37-maison-de-luxe/d137/1374201/f41d6a19f55dc31cdbbdfc58c0a622e1_74d77cb437e22b7a972fe43106c7e73c_apx_1024_.jpg
5,423,2590000,10,bien-exception-1373944,Maison Saint-Cyr-sur-Loire - 5 chambres - 423m²,37540,MAISON,Val de Loire Sologne Sotheby's International Realty,Saint-Cyr-sur-Loire,MAISON_DE_LUXE,https://www.bellespierres.com/photo-saint-cyr-sur-loire-37-maison-de-luxe/d137/1373944/f657d96b17aa5e0d8c35580adf544b88_0f905d59507323d17cfbe754a44ad500_apx_1024_.jpg
0,800,3350000,21,bien-exception-1373560,Maison Amboise - 800m²,37400,MAISON,Val De Loire Sologne - Sotheby's International Realty,Amboise,MAISON_DE_LUXE,https://www.bellespierres.com/photo-amboise-37-maison-de-luxe/d137/1373560/76e1b72ce7604379a368bbfea654fa67_31f13bd7326056f0ea2a333c12c40031_apx_1024_.jpg
