price,id,category,surface,title,zip_code,rent
495600,2378783,Restaurant,100,AV restaurant bar Licence IV Paris 18 Montmartre,,3277
177280,2392373,Restaurant,60,A vendre restaurant traiteur top emplacement Paris,75009,
269900,2392257,Restaurant,100,Vente restaurant dans quartier commerçant Paris 19,,
385000,2392243,Restaurant,100,Vente restaurant à Paris 75004 place des Vosges,75004,
150000,2392213,Restaurant,100,Vente commerce 100m² à Paris Epinettes-Bessieres,,3107
744000,2392183,Restaurant,105,Vente restaurant bar à tapas lic IV à Paris centre,,6120
857600,2392087,Restaurant,176,AV restaurant lic 4 à Paris St-Sébastien-Froissart,,
912405,2392049,Restaurant,160,Vente restaurant licence IV en angle à Paris,,11605
102000,2392033,Restaurant,0,Cède restaurant snack traiteur à Paris 75013,,
224000,2391987,Restaurant,140,AV restaurant VAE emplacement N° 1 face gare Paris,,5500
361680,2391855,Restaurant,100,Vente FDC restaurant à Paris 75017 Batignolles,75017,
583000,2391856,Restaurant,100,Vente restaurant lic IV à Paris 17e Batignolles,,
230000,2391729,Restaurant,105,Vente restaurant traiteur à Paris 17 Niel Wagram,,1490
600000,2391716,Restaurant,115,Vente restaurant de 115m² à Paris 12 gare de Lyon,,3000
374500,2391685,Restaurant,75,Vente restaurant à Paris 75011 quartier Belleville,75011,
689000,2391683,Restaurant,98,Vente restaurant à Paris quartier Ternes 75017,75017,
90000,2391686,Restaurant,50,Vente restaurant à Paris 75009 quartier Opéra,75009,
466000,2391641,Restaurant,70,A vendre restaurant très bon ca Paris 20 Gambetta,,1260
199000,2391628,Restaurant,50,Restaurant cosy à vendre quartier fréquenté Paris,,
259000,2391627,Restaurant,141,Cède restaurant licence 4 belle terrasse Paris 19,,
880000,2382609,Restaurant,0,Cède restaurant bar licence IV brasserie à Paris 6,75006,
165000,2391401,Restaurant,60,AV restaurant 30 cvts idéalement situé à Paris 11,,3000
605000,2391376,Restaurant,0,Vente restaurant licence IV en angle à Paris,,
198000,2391319,Restaurant,73,Vente restaurant licence IV à Paris 75013,75013,2200
800000,2391236,Restaurant,107,Vente FDC café restaurant extraction à Paris 75008,,
385000,2290028,Restaurant,120,A vendre restaurant à Paris 75005 Luxembourg,75005,
168000,2379576,Restaurant,60,Av restaurant clé en main extraction à Paris 75011,,3413
689000,2391140,Restaurant,0,Vente restaurant refait à neuf logement à Paris 17,,
1050000,2391041,Restaurant,75,Vente murs et FDC bistrot lic IV à Paris 75005,,
110000,2391040,Restaurant,75,Vente restaurant à Paris 75015 Pasteur,,
385000,2391028,Restaurant,55,Vente bar restaurant 50 couverts à Paris 75012,75012,
550000,2391022,Restaurant,95,Vente commerce de 95m² à Paris 18 Barbes,,1500
485000,2391009,Restaurant,75,Vente restauration Paris 1er quartier Saint Anne,,2643
490527,2390977,Restaurant,78,Restaurant asiatique haut de gamme à Paris centre,,2643
422760,2390878,Restaurant,100,Vente restaurant gastronomique idéalement placé,,
418000,2375817,Restaurant,0,Vente restaurant Paris 75001 quartier les Halles,75001,2200
298000,2311729,Restaurant,80,Vente restaurant refait à Paris 75015 Vaugirard,,3300
198000,2287356,Restaurant,0,Vente fonds de commerce restaurant à Paris 75008,75008,2800
280000,2151044,Restaurant,60,Vente restaurant traditionnel à Paris 75008 Rome,75008,1876
220000,2229416,Restaurant,60,Vente FDC restaurant à Paris 75009,,2350
145000,2102080,Restaurant,55,Vente restaurant quartier Cardinet Paris 75017,,1750
260000,2390559,Restaurant,52,Vente commerce 52m² Paris 11 Bastille Ledru Rollin,,3600
170000,2390557,Restaurant,57,Vente restaurant de 57m² à Paris 75008 Boetie,,3700
596527,2390531,Restaurant,89,Vente restaurant lic IV à Paris quartier Marais,,4512
384524,2390530,Restaurant,40,A vendre restaurant snack 14 places Paris 75009,,3250
220000,2390503,Restaurant,178,Vente grand restaurant licence 4 bel appart Paris,,
179200,2390470,Restaurant,50,Vente restaurant avec extraction à Paris 75010,75010,
4900,2390473,Restaurant,80,Location gérance restaurant 80m² à Paris 75017,,4900
3000,2390472,Restaurant,50,Location gérance restaurant 50m² à Paris 10e,,3000
224000,2390467,Restaurant,70,Vente restaurant sans extraction à Paris 75009,,
531160,2390462,Restaurant,45,FDC de restauration à vendre à Paris Marais,75003,
235000,2390450,Restaurant,70,Vente restaurant 70m² avec terrasse à Paris 75011,,
177280,2376969,Restaurant,77,Vente restaurant bar à vins terrasse Paris centre,75004,
330000,2313407,Restaurant,0,"Vente FDC restaurant 150m², 75015 Paris Vaugirard",,5300
225000,2389830,Restaurant,38,Vente restaurant avec extraction à Paris 75005,75005,
373927,2390012,Restaurant,65,Vente restaurant terrasse top emplacement à Paris,,2668
192335,2390007,Restaurant,42,Vente restaurant sur emplacement n°1 à Paris 8,,3700
912415,2390008,Restaurant,0,AV superbe établissement restaurant lic IV à Paris,,6868
134400,2389981,Restaurant,116,Vente restaurant traditionnel 50 cvts à Paris 16,,4000
155000,2389955,Restaurant,50,AV restaurant sur 2 niveaux à Paris Métro Goncourt,,
134400,2389932,Restaurant,45,Fonds de commerce restaurant à vendre à Paris 17,,1203
243760,2389908,Restaurant,85,Restaurant à vendre en quartier dynamique,,
427440,2389687,Restaurant,70,À vendre restaurant avec terrasse à Paris 75011,75011,
350000,2389527,Restaurant,86,Vente commerce de 86m² à Paris 02 Opera,,4203
350000,2389510,Restaurant,107,Vente commerce de 107m² à Paris 15 Felix Faure,,1916
150000,2389502,Restaurant,51,Vente commerce de 51m² à Paris 18 Montmartre,,1691
204980,2389349,Restaurant,65,Vente cave à vins restaurant quartier résidentiel,,
150000,2389128,Restaurant,95,Vente restaurant de 95m² à paris 75010 Paradis,,2600
170000,2389119,Restaurant,83,Vente commerce 83m² à Paris 75013 F. Mitterrand,,2310
380000,2389097,Restaurant,78,Vente restaurant avec extraction Paris 16 Auteuil,75016,1400
232800,2389096,Restaurant,94,Vente beau restaurant bien situé à Paris 75020,,2370
146800,2389094,Restaurant,83,Vente beau restaurant bien situé à Paris 75009,75009,2600
330000,48693,Restaurant,55,AV restaurant café jardin du Luxembourg 6E PARIS,,
189000,2388816,Restaurant,75,Vente restaurant 75m² à Paris 11 Charonne Voltaire,,3504
395000,2388815,Restaurant,80,Vente restaurant à Paris 75009 Clichy Trinité,,1150
437527,2388770,Restaurant,0,AV restaurant à Paris 9 secteur à forte affluence,75009,3000
363324,2388769,Restaurant,50,Restaurant terrasse à vendre à Paris centre (75),,1667
185000,2388737,Restaurant,62,AV restaurant avec extraction Paris 18 Montmartre,75018,2700
79000,2388702,Restaurant,26,AV restaurant pâtisserie snack Paris Saint-Michel,,
166200,2388657,Restaurant,100,Cession fonds de commerce restaurant en angle,,
345000,2388482,Restaurant,100,Vente authentique bistrot 100m² à Paris 75018,,
416480,2388402,Restaurant,90,Vente restauration extraction lic IV à Paris 75009,75009,
550000,2388255,Restaurant,80,Vente restaurant à Paris 05 Maubert Mutualité,,3833
150000,2388253,Restaurant,88,Vente restaurant de 88m² à Paris 18 Goutte d'Or,,1753
352727,2388230,Restaurant,56,Vente restaurant licence 4 hyper-centre de Paris,,4128
543527,2388228,Restaurant,81,Vente restaurant top emplacement Paris Rive droite,,3340
2669200,2388216,Restaurant,292,Vente restaurant avec Licence IV à Paris 75001,,19610
22000,2388217,Restaurant,80,Vente petite restauration bien placée à Paris 09,,1730
275200,2388214,Restaurant,66,Vente restaurant traditionnel 38 couverts Paris 11,75011,2500
162400,2388121,Restaurant,63,Vente restaurant avec beaucoup de potentiel,,
243760,2388122,Restaurant,83,Vente restaurant dans quartier animé sur bel empl,,
1060000,2388120,Restaurant,180,Cession très joli restaurant d’angle avec terrasse,,
231000,2388071,Restaurant,0,Restaurant à vendre dans belle rue de Paris 75009,,
448127,2387790,Restaurant,56,A vendre restaurant pizzeria vae à Paris la Muette,,3638
345000,2387782,Restaurant,80,Vente restaurant à sushi extraction à Paris 75015,,
112000,2387733,Restaurant,27,A vendre restaurant 20 couverts à Paris 75015,75015,1492
543527,2387694,Restaurant,180,Cède bar restaurant + bar à vins + labo à Paris,,3538
352727,2387698,Restaurant,0,AV restaurant quartier prestige Paris Rive Gauche,,1750
543500,2387697,Restaurant,116,Cède restaurant plus de 100m² à Paris rue passante,,7000
698000,2387680,Restaurant,181,AV restaurant de 55 Cvts Paris 15 Top Emplacement,,4372
156000,2387678,Restaurant,70,Vente restaurant café en angle terrasse à Paris 17,75017,2400
370000,2387631,Restaurant,100,Vente très beau restaurant avec faible loyer Paris,,2
89000,2387630,Restaurant,80,Vente charmant restaurant au coeur de la Capitale,,2968
18500,2387572,Restaurant,300,Location gérance 300m² à Paris 7e,,18500
221600,2387564,Restaurant,80,Vente restaurant à Paris Saint-Germain-des-Prés,75006,
411920,2387563,Restaurant,120,Restaurant en angle à vendre à Paris Marais,75004,
328800,2387559,Restaurant,39,Vente restaurant à rénover à Paris Jules Joffrin,75018,
411920,2387560,Restaurant,85,Restaurant licence IV à vendre quartier d'affaires,,
243760,2387493,Restaurant,70,Vente FDC petite restauration quartier touristique,,
328800,2387491,Restaurant,82,AV fonds de commerce restaurant quartier bureaux,,
328800,2387489,Restaurant,76,A vendre restaurant avec extraction 44 pl assises,,
466120,2387488,Restaurant,129,Bistrot extraction lic IV à vendre Paris Marais,75004,
