price,id,category,surface,title,zip_code,rent
650000,2404039,Tabac - Presse - Loto,70,AV civette tabac loto FDJ PMU quartier dynamique,,2500
649500,2387602,Tabac - Presse - Loto,70,FDC tabac presse FDJ PMU à vendre à Lisses,91090,2500
649527,2385257,Tabac - Presse - Loto,33,Cède FDC tabac presse FDJ en plein centre ville 91,91460,1350
660000,2350302,Tabac - Presse - Loto,34,AV belle civette presse FDJ centre ville Essonne,91940,1500
750000,2342132,Tabac - Presse - Loto,35,Vente civette tabac FDJ PMU quartier dynamique 91,,1150
437527,2329109,Tabac - Presse - Loto,50,Vente FDC tabac FDJ en plein centre ville d'Evry,,1500
700000,2295138,Tabac - Presse - Loto,100,Vente tabac presse FDJ PMU Top Empl en Essonne,91090,2300
648000,2290979,Tabac - Presse - Loto,80,Vente civette centre commercial ouvert en Essonne,91450,1564
400000,2272658,Tabac - Presse - Loto,100,Vente civette tabac loto FDJ PMU à développer 91,,3000
1188800,2406947,Bar - Brasserie - Tabac,0,Vente bar tabac FDJ PMU en Nord Essonne,,1275
1150000,2406603,Bar - Brasserie - Tabac,70,Vente bar tabac loto FDJ PMU bien situe Essonne,,2015
930000,2406602,Bar - Brasserie - Tabac,80,Vente bar tabac loto FDJ PMU à developper Essonne,,758
115900,2405331,Bar - Brasserie - Tabac,140,Cède bar brasserie emplacement d'angle Palaiseau,91120,1250
900000,2405204,Bar - Brasserie - Tabac,0,Vente bar Tabac FDJ PMU belle rentabilité Essonne,,800
540000,2404906,Bar - Brasserie - Tabac,200,Vente bar brasserie Tabac FDJ PMU à Etampes,91150,1500
220000,2402862,Bar - Brasserie - Tabac,65,Vente bar tabac loto PMU à Ris Orangis,91130,1100
267927,2402323,Bar - Brasserie - Tabac,240,Magnifique bar à vendre Saint-Germain-lès-Arpajon,91180,1833
278500,2402321,Bar - Brasserie - Tabac,100,AV bar FDJ PMU dans agréable ville de l'Essonne,91610,2100
135000,47800,Bar - Brasserie - Tabac,90,AV bar restaurant FDJ coeur Vallée de Chevreuse,,
1802000,2401885,Bar - Brasserie - Tabac,400,Vente Bar-brasserie restaurant dept Nord Essonne,,
387800,2401836,Bar - Brasserie - Tabac,199,Bar brasserie FDJ en angle 80 pl + grande terrasse,,4890
1275015,2399843,Bar - Brasserie - Tabac,500,Brasserie à vendre à Sainte Genevieve des Bois,,6543
0,2251420,Bar - Brasserie - Tabac,0,Reprendre un V and B à La Ville du Bois en Essonne,,
100000,2396586,Bar - Brasserie - Tabac,127,Cède restaurant bar appartement face à une gare 91,,
557400,2385422,Bar - Brasserie - Tabac,510,Vente bar brasserie tabac FDJ centre ville Essonne,,
